incidentid,incidentcode,createddate,servicelevel1,servicelevel2,servicelevel3,sla,finishdate,daysspent,startdate,confirmdate,slabreach,category,openagain,source,status,organizationname,grade,xcoordinate,ycoordinate,region,expireddays,result,updateddate,uploadeddate
504616,IM504616,2025-03-14 18:58:41.274968,КАНАЛИЗАЦИЯ,"ПОРЫВ, УТЕЧКА КАНАЛИЗАЦИИ",УЛИЦА,1,2025-03-18 10:51:47.268967,0,2025-03-14 19:17:21.698249,,True,инцидент,False,Call центр,закрыто,ГКП КОСТАНАЙ-СУ,0,,,КОСТАНАЙ,-1,выполнили. ,2025-10-16 04:06:35.601206,2025-10-02 16:41:54.603023
494252,IM494252,2025-01-09 22:14:31.595102,УЛИЧНОЕ ОСВЕЩЕНИЕ,ОТСУТСТВИЕ ОСВЕЩЕНИЯ,/-/-/-/-/-/-/-/,7,2025-01-11 11:42:33.424047,0,2025-01-09 22:16:22.877966,,False,инцидент,False,WhatsApp,закрыто инициатором,ТОО КЗ PROJECT,0,,,КОСТАНАЙ,7,освещение работает,2025-10-16 04:17:25.10304,2025-10-02 16:41:57.206977
