incidentid,incidentcode,createddate,servicelevel1,servicelevel2,servicelevel3,sla,finishdate,daysspent,startdate,confirmdate,slabreach,category,openagain,source,status,organizationname,grade,xcoordinate,ycoordinate,region,expireddays,updateddate,uploadeddate
510615,IM510615,2024-09-15 09:06:53.190318,ЭЛЕКТРОСНАБЖЕНИЕ ГОРОДА,ОТСУТСТВИЕ ЭЛЕКТРОЭНЕРГИИ,ЧАСТНЫЙ СЕКТОР,1,2024-09-16 10:11:41.023876,0,2024-09-15 09:09:13.911853,,False,инцидент,False,Call центр,закрыто,ТОО ОҢТҮСТІК ЖАРЫҚ ТРАНЗИТ,0,,,ТУРКЕСТАН,1,2025-06-06 05:00:10.470787,2024-09-17 07:16:44.859211
544218,IM544218,2024-12-21 12:51:08.682488,САН ОЧИСТКА,"ОЧИСТКА ОТ СНЕГА, НАЛЕДИ",ОЧИСТКА НАЛЕДИ (УЛИЦА),3,2024-12-23 09:15:21.951507,0,2024-12-21 13:43:05.634149,,True,жалоба,False,WhatsApp,закрыто,УПРАВЛЕНИЕ ПАССАЖИРСКОГО ТРАНСПОРТА,0,,,САЙРАМСКИЙ,2,2025-10-20 04:55:36.413274,2024-12-24 10:13:27.67303
